track_id,gfp_onset_frame
1000,43
1005,42
1007,43
102,20
1027,43
1032,37
1055,43
107,20
1073,43
1077,42
1079,43
108,20
1089,46
1094,46
1097,46
1100,46
1101,47
1102,45
1105,47
1109,47
1119,44
1127,46
113,21
1144,38
1148,47
1165,42
1168,45
117,21
1175,44
1189,45
1191,44
1200,46
1203,47
1204,44
1210,47
1216,45
1218,45
122,21
1222,44
1231,42
1243,46
1247,46
1249,38
1259,48
1266,48
1271,48
1284,46
1288,48
1291,44
1298,48
1299,46
1311,46
1325,44
134,22
1396,45
1414,50
1424,49
1439,49
146,22
1472,50
1475,49
1498,49
15,14
1508,51
1510,51
1515,51
1518,51
1547,51
1576,52
1588,52
1591,52
1599,52
1602,52
1604,52
1606,52
1634,53
1645,53
1662,53
1671,55
1678,55
1682,55
1696,54
1705,54
1712,55
1719,55
172,23
1726,54
1748,55
1775,54
1779,55
1783,58
1792,56
1803,57
181,23
1810,57
1813,56
1816,56
1818,59
1822,58
1824,59
1828,57
1839,58
1846,59
1882,59
1885,57
1889,56
1892,56
1893,56
1915,56
192,24
1945,57
1963,60
197,24
1983,60
1988,60
1994,61
2000,61
2002,61
2003,61
2008,62
201,24
2026,61
2027,61
2031,62
2032,61
2038,61
204,24
2041,62
2045,58
207,24
2087,61
2113,64
2116,65
2120,65
2146,65
2160,63
2167,63
218,25
2181,64
2183,63
2187,63
2190,64
2192,64
2193,65
2201,65
2229,68
2239,68
224,25
226,25
2263,66
2273,69
2284,67
2299,66
2302,69
232,25
2321,66
2333,68
2339,68
234,25
2351,73
2355,73
2367,73
2382,70
2417,73
242,26
2420,73
2434,66
2438,72
2445,67
2457,70
2459,70
2464,70
2473,66
2502,71
2526,72
2528,75
2531,75
2543,74
2565,72
2567,75
2570,74
2571,74
2591,74
2593,74
2596,67
2598,74
260,26
2604,74
261,26
2621,74
2629,74
2692,77
2698,76
2699,77
272,26
2727,78
2734,78
2758,76
2787,79
2788,79
2792,80
283,27
2841,81
2847,80
285,27
2853,81
2859,81
286,27
2864,81
287,27
289,27
2890,82
2892,83
2902,82
2958,85
3018,87
3031,86
3032,86
308,27
3080,88
3085,88
3095,88
31,13
3100,91
3109,89
312,28
3122,91
3133,91
3135,90
3154,89
3167,89
3174,92
3187,92
3220,93
3233,93
3265,94
3288,95
3308,95
331,28
3329,96
3335,96
334,28
3349,103
335,28
3357,103
3365,102
3370,100
3374,103
3375,100
3379,98
3386,97
3388,100
3394,102
3401,99
341,29
3440,97
3457,97
3475,100
3488,106
3490,101
3497,106
3516,106
3553,106
3561,104
3612,101
3616,101
362,29
3628,101
3642,107
3656,107
3671,108
3676,109
368,29
3682,109
369,28
3690,109
3695,109
370,28
3700,108
3713,110
3715,110
3717,108
3724,109
3727,109
3737,111
374,29
3744,111
3751,111
376,28
3763,112
3770,112
3774,112
38,15
380,28
3811,113
3814,113
3823,113
3828,113
384,28
3843,113
3845,113
3847,114
3859,114
3865,114
3873,114
3875,114
3884,117
3903,115
3924,118
3927,115
3941,116
395,28
396,29
3984,121
3996,120
3997,120
4002,121
4008,119
4017,120
4029,120
404,28
4054,122
4065,122
407,28
4083,122
4101,123
4111,123
4126,124
4135,124
4139,124
4149,124
416,35
4161,128
4169,128
4172,128
4173,128
4178,125
4212,127
422,32
4240,129
4260,130
4262,129
428,30
4284,131
4286,131
4290,131
4297,131
43,15
430,30
4310,133
432,31
4332,134
4357,137
4368,135
437,30
4393,137
441,31
4434,139
4472,139
4495,142
4514,141
453,31
4533,141
4576,146
458,36
4588,143
459,35
46,17
460,31
461,33
4624,145
4627,147
4629,145
4655,143
4659,144
4663,145
4664,150
4669,149
4674,149
4684,146
4688,150
470,33
4702,149
4707,150
4764,151
477,32
478,30
4816,152
4842,155
4844,155
485,36
4887,153
490,32
4900,154
4903,154
4921,156
498,33
4985,162
4991,160
4997,163
5012,159
509,32
5116,169
514,33
518,32
5187,168
5217,171
522,34
5231,173
53,17
530,33
535,36
538,30
54,16
544,35
546,36
550,30
554,35
561,30
57,17
573,36
575,36
578,30
580,34
589,33
599,30
604,33
607,34
612,32
615,31
617,31
629,32
635,36
637,32
647,36
653,33
658,32
691,30
692,31
699,30
700,31
712,38
714,41
740,32
741,41
744,39
745,41
752,38
753,33
762,32
770,38
778,34
782,34
786,38
787,37
794,39
806,38
807,40
808,38
811,38
814,39
818,40
820,37
828,40
834,37
839,41
846,32
85,19
854,39
868,32
872,41
874,38
875,38
883,41
885,40
904,38
909,32
912,39
915,40
92,19
946,40
97,20
980,34
993,43
997,42
998,33
